1,native,openmp,4,22569
2,docker,mpi-high-comm,4,21246
3,singularity,openmp,1,81655
4,docker,mpi,16,11543
5,native,mpi,4,22589
6,docker,openmp,4,20681
7,native,openmp,1,90225
8,singularity,mpi,4,21337
9,singularity,openmp,4,20762
10,native,openmp,16,22790
11,singularity,openmp,16,20597
12,native,mpi-high-comm,1,90327
13,docker,mpi-high-comm,16,10601
14,native,mpi-high-comm,4,22983
15,singularity,mpi-high-comm,1,82343
16,singularity,mpi,1,81421
17,singularity,mpi-high-comm,16,6198
18,docker,openmp,1,81641
19,docker,mpi,1,81416
20,docker,mpi-high-comm,1,81409
21,native,mpi-high-comm,16,6080
22,native,mpi,16,5885
23,docker,mpi,4,20822
24,singularity,mpi-high-comm,4,21145
25,singularity,mpi,16,5573
26,docker,openmp,16,20686
27,native,mpi,1,89776
28,docker,mpi-high-comm,16,10401
29,native,mpi-high-comm,1,93224
30,native,mpi,1,89762
31,docker,openmp,16,20694
32,singularity,openmp,16,20639
33,singularity,mpi-high-comm,1,81393
34,docker,mpi,16,10192
35,singularity,mpi-high-comm,16,5366
36,singularity,openmp,4,20574
37,native,openmp,16,22646
38,native,mpi,16,5778
39,singularity,openmp,1,81677
40,singularity,mpi,1,81429
41,singularity,mpi,4,20673
42,native,mpi,4,22709
43,native,openmp,4,22584
44,native,mpi-high-comm,4,22766
45,docker,mpi,4,20594
46,singularity,mpi-high-comm,4,20760
47,docker,openmp,4,20613
48,native,mpi-high-comm,16,5780
49,docker,openmp,1,81660
50,docker,mpi-high-comm,4,20596
51,singularity,mpi,16,5656
52,docker,mpi,1,81405
53,native,openmp,1,90255
54,docker,mpi-high-comm,1,81399
55,native,openmp,4,23045
56,docker,mpi-high-comm,16,5602
57,docker,openmp,4,20657
58,native,mpi,16,5808
59,native,mpi,1,89760
60,singularity,openmp,4,20576
61,native,mpi-high-comm,1,89765
62,singularity,mpi,16,5670
63,singularity,mpi-high-comm,1,81396
64,singularity,mpi,4,20665
65,singularity,mpi-high-comm,16,5384
66,docker,mpi-high-comm,4,20750
67,native,mpi-high-comm,4,22702
68,singularity,mpi,1,81400
69,singularity,openmp,16,20616
70,native,openmp,1,90216
71,native,mpi,4,22476
72,native,mpi-high-comm,16,5840
73,docker,mpi,1,81439
74,docker,mpi,4,20594
75,docker,openmp,16,20640
76,docker,mpi,16,5687
77,docker,openmp,1,81670
78,docker,mpi-high-comm,1,81404
79,singularity,openmp,1,81592
80,native,openmp,16,22802
81,singularity,mpi-high-comm,4,20925
82,native,openmp,16,22643
83,docker,openmp,4,20578
84,native,mpi,1,90473
85,docker,mpi-high-comm,16,10738
86,docker,mpi-high-comm,4,20608
87,native,mpi,4,22483
88,singularity,mpi-high-comm,4,20544
89,singularity,mpi-high-comm,16,5368
90,singularity,openmp,1,81681
91,docker,mpi,4,20596
92,native,mpi-high-comm,16,5839
93,native,mpi-high-comm,4,23257
94,docker,openmp,1,81672
95,native,mpi,16,5899
96,singularity,mpi-high-comm,1,81411
97,singularity,openmp,16,20612
98,singularity,mpi,16,5654
99,docker,mpi,1,82251
100,singularity,mpi,4,20692
101,docker,mpi,16,7895
102,singularity,openmp,4,20580
103,docker,openmp,16,20715
104,native,mpi-high-comm,1,89780
105,native,openmp,1,90231
106,native,openmp,4,22627
107,singularity,mpi,1,81402
108,docker,mpi-high-comm,1,81394
109,singularity,openmp,4,20578
110,native,openmp,4,22580
111,native,mpi-high-comm,4,23250
112,singularity,mpi,16,5534
113,native,mpi-high-comm,1,89774
114,docker,mpi-high-comm,4,20684
115,docker,mpi,4,20594
116,singularity,mpi-high-comm,4,20586
117,docker,mpi,16,5575
118,docker,mpi-high-comm,1,81400
119,docker,mpi,1,81392
120,singularity,mpi-high-comm,16,5360
121,singularity,mpi-high-comm,1,81396
122,native,openmp,1,90316
123,singularity,openmp,1,82496
124,docker,mpi-high-comm,16,10708
125,native,mpi,4,22642
126,native,mpi,16,5771
127,singularity,openmp,16,20614
128,docker,openmp,4,20572
129,singularity,mpi,1,81423
130,native,mpi,1,89798
131,singularity,mpi,4,20676
132,docker,openmp,1,81662
133,native,openmp,16,22643
134,native,mpi-high-comm,16,5836
135,docker,openmp,16,20636
136,singularity,mpi-high-comm,16,5405
137,native,mpi-high-comm,4,22603
138,native,openmp,1,90827
139,native,openmp,16,22648
140,docker,mpi,4,20594
141,singularity,mpi-high-comm,4,20556
142,singularity,openmp,1,82000
143,native,mpi,16,5892
144,singularity,openmp,4,20581
145,docker,openmp,16,20694
146,singularity,mpi,4,20685
147,singularity,openmp,16,20636
148,native,mpi-high-comm,1,89771
149,native,openmp,4,22572
150,native,mpi,4,22497
151,docker,mpi,16,5605
152,docker,mpi-high-comm,1,81443
153,docker,openmp,4,20638
154,singularity,mpi,16,5660
155,singularity,mpi,1,81458
156,docker,openmp,1,81676
157,singularity,mpi-high-comm,1,81424
158,docker,mpi-high-comm,4,20595
159,native,mpi-high-comm,16,5918
160,docker,mpi-high-comm,16,10443
161,native,mpi,1,89856
162,docker,mpi,1,81445
163,native,mpi,4,22708
164,singularity,mpi-high-comm,4,20552
165,singularity,mpi,1,82263
166,singularity,openmp,16,20628
167,docker,mpi,16,10933
168,docker,mpi-high-comm,1,81445
169,singularity,openmp,1,82168
170,native,openmp,4,22683
171,docker,openmp,4,20690
172,docker,openmp,1,81671
173,singularity,mpi,16,6547
174,singularity,mpi,4,21281
175,singularity,openmp,4,20576
176,native,mpi-high-comm,1,89859
177,native,mpi,1,89778
178,native,mpi,16,5981
179,native,openmp,1,90214
180,native,mpi-high-comm,16,5974
181,docker,mpi-high-comm,4,20660
182,singularity,mpi-high-comm,16,6162
183,docker,mpi-high-comm,16,10699
184,native,mpi-high-comm,4,22772
185,native,openmp,16,22803
186,docker,mpi,1,81400
187,singularity,mpi-high-comm,1,82813
188,docker,openmp,16,20634
189,docker,mpi,4,20619
190,native,mpi-high-comm,4,22913
191,docker,openmp,16,20699
192,docker,mpi-high-comm,1,81403
193,singularity,mpi,1,81420
194,singularity,openmp,16,20612
195,docker,mpi-high-comm,16,5568
196,native,mpi-high-comm,1,89787
197,native,openmp,16,22644
198,singularity,mpi,16,5576
199,docker,mpi,16,10572
200,singularity,mpi-high-comm,1,81423
201,docker,mpi,4,20603
202,singularity,mpi-high-comm,4,21141
203,native,mpi,1,90324
204,native,openmp,1,90200
205,docker,mpi,1,81402
206,singularity,openmp,1,82512
207,docker,mpi-high-comm,4,20692
208,native,mpi-high-comm,16,5775
209,singularity,openmp,4,20577
210,native,openmp,4,22584
211,docker,openmp,1,81738
212,docker,openmp,4,20642
213,native,mpi,16,5761
214,native,mpi,4,22468
215,singularity,mpi,4,20680
216,singularity,mpi-high-comm,16,5415
217,docker,openmp,1,81673
218,docker,mpi-high-comm,1,81400
219,singularity,openmp,16,20829
220,docker,mpi,16,10950
221,singularity,mpi,1,81391
222,native,mpi,16,5766
223,native,openmp,1,90212
224,native,mpi-high-comm,4,23293
225,singularity,mpi-high-comm,4,20743
226,singularity,mpi-high-comm,1,81783
227,native,mpi-high-comm,1,89787
228,singularity,openmp,1,81678
229,native,openmp,4,22580
230,native,mpi,1,91356
231,native,mpi,4,22473
232,singularity,mpi-high-comm,16,5417
233,docker,openmp,16,20686
234,docker,mpi,1,81404
235,docker,mpi-high-comm,16,10674
236,docker,openmp,4,20591
237,singularity,mpi,16,5731
238,singularity,openmp,4,20585
239,singularity,mpi,4,20725
240,docker,mpi-high-comm,4,20682
241,native,openmp,16,22646
242,docker,mpi,4,20684
243,native,mpi-high-comm,16,5796
244,docker,openmp,16,20695
245,docker,openmp,4,20654
246,docker,mpi-high-comm,1,81406
247,singularity,openmp,1,81659
248,native,openmp,4,22587
249,singularity,openmp,16,20614
250,singularity,openmp,4,20585
251,singularity,mpi-high-comm,1,81421
252,native,mpi,4,22473
253,native,mpi,16,5891
254,native,openmp,1,90210
255,docker,mpi,4,20592
256,docker,mpi-high-comm,16,10756
257,singularity,mpi-high-comm,16,5414
258,singularity,mpi,1,81457
259,singularity,mpi,4,20717
260,native,mpi-high-comm,4,22925
261,docker,mpi,16,5712
262,native,mpi-high-comm,1,89798
263,singularity,mpi-high-comm,4,20534
264,docker,mpi-high-comm,4,20620
265,docker,openmp,1,81671
266,singularity,mpi,16,5582
267,native,openmp,16,22646
268,docker,mpi,1,81891
269,native,mpi,1,89794
270,native,mpi-high-comm,16,5750
